,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B
187,193,11.29,433,7.81,0.48,13.369299397227149,30.0,1.46,8.2,2.343823823165732,22.19944398205349,0.7130430002727202
188,240,20.52,766,7.95,0.98,12.758648822708556,30.53,1.08,11.92,1.920264256742993,18.43265738612917,1.3944547148947786
189,289,10.77,309,7.66,0.35,5.880269752520794,33.94,0.4,4.67,1.2090831441829852,1.7579196269870498,1.2444525978049683
190,110,44.63,245,7.84,0.53,2.325156150560991,22.11,0.6,6.98,0.6926636782329765,14.1576705414517,0.266712523925475
191,477,26.67,430,7.66,0.72,21.54345661508451,21.52,0.56,4.92,0.4456622052070609,20.95414887395131,0.3530025757910095
192,271,14.88,249,7.89,0.53,21.6199915662036,13.05,1.54,8.08,1.8919879963538797,21.03895155286702,2.371424154147818
193,221,29.75,399,7.62,0.42,15.231124828831105,27.72,1.16,5.8,2.3596769772687187,11.635757683067428,0.721903068090189
194,129,57.45,463,7.71,0.32,8.202812006063946,18.28,0.64,11.45,1.976639462875513,29.198865467866565,0.5980848293362202
195,207,14.36,441,7.27,0.41,8.446108833242594,14.97,0.34,3.2,1.643785250420034,5.279658725794166,1.4535556054503842
196,290,45.14,725,7.85,1.04,17.45034072499872,31.37,0.84,3.01,0.2129170846546942,15.566103293598667,2.181742082560536
197,209,19.49,376,7.86,1.08,21.540935212866597,23.88,0.5,6.76,2.9276721183515444,21.45140603565492,0.2309723912780066
198,295,82.07,461,8.09,1.08,21.301365539936302,27.44,0.44,8.08,2.430232581547904,21.644525043997987,1.651989858201586
199,238,43.6,359,7.3,0.48,18.73902554599721,35.64,0.42,9.24,0.9479685675338267,20.146457374588717,0.3890208222399824
200,201,17.44,616,7.85,0.56,15.444556343087475,32.27,0.6,6.19,2.9613130650214323,8.613652913527961,0.1606325002787069
201,263,67.71,288,7.98,1.1,2.110945163381667,28.36,0.28,7.28,1.853513057634424,4.935220906729753,0.2055733079677199
202,350,61.56,408,7.3,1.05,3.962926266861269,25.46,1.39,4.35,1.7964983885472323,19.7541966956771,2.362292938655298
203,289,58.48,523,7.6,0.62,21.575445105797197,33.33,0.42,5.24,2.281854415728529,18.622442367547237,0.3856040548134499
204,232,34.88,462,7.85,0.49,14.593654525864196,32.44,1.69,4.71,2.468485479104103,5.650307157834654,0.1846177657779257
205,270,44.63,375,7.64,1.37,0.3198095336374486,35.54,0.66,7.8,2.013482319481303,21.891748206674706,1.2686036885144378
206,301,72.33,497,7.3,1.43,2.525169874498167,29.37,0.42,4.78,0.465320536852966,14.170262824652646,2.3894219825599885
207,226,87.2,376,7.05,0.43,15.957692281682531,32.39,0.3,3.86,1.0811237925638804,20.737124674621395,0.7842471191104732
208,216,65.66,763,7.61,0.59,0.2209718539246266,16.47,1.29,6.85,2.8092850661553257,25.976269094099955,1.223926824371529
209,292,36.93,766,7.71,0.42,3.9433124288782175,33.0,0.32,5.06,0.7481237427024862,5.352911158741157,0.1701861898759533
210,113,31.29,224,8.19,0.62,13.214737565861409,10.92,0.6,5.29,1.1804493798439142,0.701384972422285,1.2994566990122574
211,290,66.17,586,7.96,0.43,16.63629522485537,11.22,0.36,5.2,1.3559852670264945,24.176478893765854,1.6542121025584888
212,336,24.11,405,7.35,1.24,15.681874102112152,27.39,0.38,3.27,1.377456619804745,18.943553462964307,1.6357034683559195
213,100,61.56,468,7.73,1.71,5.460036496107378,36.91,0.84,8.92,1.88591297670896,21.72186630562734,0.9774976704012476
214,205,36.93,764,7.43,3.81,17.121083390206106,17.67,1.39,4.24,2.853212204591993,26.000607177399168,0.930871578630254
215,274,33.88,727,7.78,0.57,5.770253191173521,39.17,0.94,6.28,0.7952296456692395,24.90882977672882,0.3542811882650101
216,114,51.3,221,8.25,0.57,7.877052786006498,27.02,0.92,5.88,0.4459990325616899,29.792823338631397,1.0723633649837008
217,343,72.84,376,7.83,1.24,17.941144582320778,24.27,0.62,5.76,0.6685885352896164,16.66503458574193,0.3346052860893824
218,310,12.82,399,7.17,2.41,15.626226287228429,17.57,1.14,7.76,2.6886899576131595,15.199630092864476,2.1758048074052625
219,248,29.24,857,7.55,1.83,20.39643951081085,33.66,0.69,8.76,1.9822256810797536,12.524295604624651,2.726917061784993
220,240,25.65,291,7.94,0.36,15.816948125978206,29.42,1.31,4.89,0.9277068924707392,4.857516313457479,2.737405500400111
221,281,36.93,427,7.67,0.92,13.68257561971777,17.28,0.68,8.86,2.4807245311780486,17.79783742372567,2.447596234276087
222,259,64.63,414,7.62,0.96,2.33882695109141,25.01,0.58,8.2,2.613814089344868,8.666916876429484,1.7181863321773487
223,340,53.86,367,7.71,0.81,8.88840769312046,18.93,0.56,6.98,2.5702870123625146,28.56918905225881,1.9943893243931088
224,226,48.22,157,7.55,1.67,6.438336587593238,18.81,1.24,9.57,2.7824547435638944,18.124763944119543,0.8471680153979428
225,212,48.22,262,7.62,0.62,5.931352476760097,11.06,0.36,4.54,0.8290661891079495,18.422833175895523,1.8009263596764329
226,237,15.9,482,7.63,1.8,23.35495225858345,12.54,1.12,4.36,2.3022728512265958,11.07362277449084,1.3175927564540617
227,202,24.11,567,8.21,0.5,9.495035619535573,16.43,0.85,12.96,1.4393807270132304,1.7159510825913844,1.3903678577843337
228,191,33.34,686,7.72,1.14,21.41991266873301,22.29,0.49,14.4,2.5570557599678803,1.0905649123716186,2.151463306635436
229,260,32.32,238,7.66,0.87,15.18421316133458,15.51,0.34,3.94,2.2244776840835265,13.18682260289227,0.8380946614484144
230,368,13.34,719,7.47,0.75,19.0959901546454,30.36,0.62,7.56,2.364991018244193,2.722224529423677,0.9377893282768748
231,223,43.09,540,6.95,3.92,12.11302652521409,29.16,0.46,8.19,2.0125541844055395,18.8555024566349,2.612011343515037
232,218,22.06,383,7.32,1.63,13.888002842569982,25.89,0.46,3.49,0.6098662945462411,27.32325614420902,0.2151790537886833
233,289,24.62,333,7.05,0.82,11.871172882270846,26.28,0.28,4.72,1.6869288723680296,27.38323868226333,1.4003506636208194
234,328,71.3,300,8.0,0.67,4.766307408373263,10.87,0.86,10.92,2.975082336806809,20.467912718984657,2.579330209125698
235,354,49.24,676,7.73,0.95,17.366605554749977,31.15,0.68,7.44,2.8365470348365585,6.63495127419884,1.7446019015781131
236,381,34.88,504,7.47,2.04,6.8104594623364525,34.5,0.88,7.5,0.2164990458852441,26.76797212067556,1.5680835248254843
237,303,59.5,477,7.0,0.59,0.6811515977117467,23.99,1.43,11.25,0.5729074100872508,27.481426216825,0.7492939346730203
238,331,61.56,411,7.67,1.32,15.526787872181307,29.88,0.82,7.16,0.4759653062218664,6.1846292391968944,1.0074403498178772
239,237,42.06,401,7.79,4.62,4.332945237828469,33.59,0.82,7.28,2.217121136256916,22.88909178945622,2.4116536276209524
240,278,16.93,688,7.29,1.32,22.57696016603465,25.36,0.82,11.3,2.486111016480849,8.960588866358828,1.6034420436809445
241,196,13.85,367,7.91,0.29,22.89889299036184,24.92,0.8,9.2,0.7155883032902687,24.903559248581995,1.4806884547687125
242,196,37.96,430,7.96,0.54,21.96525892626872,34.62,0.52,8.68,1.5721483903488591,30.914678728022288,0.3348400093704798
243,262,16.41,273,8.13,1.83,8.94679293610512,23.99,0.26,5.88,2.553259872072816,1.037503304624944,0.1042377118161398
244,265,58.99,321,8.64,0.37,0.4694131350399315,26.57,0.56,8.1,2.2371085261651142,27.82963159428189,2.7197711207762554
245,187,22.06,766,7.83,1.09,22.286813645846635,26.15,1.14,8.75,1.6787550120911157,19.343057182862548,1.100481821711683
246,326,74.89,433,7.58,1.37,10.333601144783811,28.95,0.78,7.1,1.8197187330442048,30.177789106001324,1.7248680513946315
247,348,47.71,336,7.09,1.3,23.2030501751437,19.04,1.09,5.16,1.5794964024647005,14.474143996391348,0.2800136019969065
248,230,93.87,496,7.94,1.13,23.130517452433143,10.4,1.5,7.24,0.9618169623641444,26.28581317534973,1.9453954285956083
249,354,63.09,526,7.39,0.57,20.486925985669902,19.02,1.5,4.4,1.7455144390769173,2.037352779000784,2.633884116028452
250,245,15.39,859,7.41,0.75,7.137328520463097,24.43,0.76,10.88,2.1084339350067656,10.466769856918557,1.6488360982728782
251,262,49.24,808,7.6,1.45,9.303835713586013,34.16,0.72,8.3,2.6488361434721663,2.180140851134876,0.4080782897561331
252,254,89.77,558,7.7,0.48,20.44216644925288,24.75,0.32,5.16,1.954333667159197,30.238349393168487,1.6655514158267957
253,237,23.08,431,8.17,1.04,7.674435923235035,23.96,0.34,8.54,2.320086103536453,25.346323995627035,2.175118308168841
254,210,32.32,552,7.68,0.46,4.15087664579761,22.74,1.05,5.8,0.5590098904168989,26.445189842288027,1.1817096409442915
255,199,38.47,392,7.93,0.5,13.407550172754569,25.25,0.53,3.72,1.4423634000499843,29.083745998992992,2.488352184318451
256,343,52.83,613,7.76,0.31,22.474099102442665,30.36,0.38,3.28,0.1173416460933833,2.7388466862401697,1.8503649512663256
257,234,33.34,462,7.81,0.2,16.735112140531854,27.34,0.62,4.74,0.8127690730483554,12.021109632736868,2.541927014478199
258,207,10.77,499,7.55,1.71,13.724461965135822,11.06,0.36,3.02,2.218532825281104,2.3042677225692256,1.7808746590426503
259,248,39.24,327,7.19,18.8,2.422518201121368,23.07,1.76,5.76,2.996003157453635,6.621398906880384,0.4223548027333148
260,167,44.63,345,7.81,1.2,14.798672718110156,26.66,0.33,9.24,0.3805918317905425,7.1951088526937,0.914749122650322
261,227,71.81,415,7.17,0.58,23.762287017491893,31.19,0.64,5.28,1.2663783454735746,14.600721749259703,0.6169540571767811
262,169,31.29,278,7.44,1.06,3.448007964152924,31.86,0.56,5.52,2.4342079382885373,8.405885352643018,2.56836113369854
263,166,20.52,508,7.94,0.4,12.488078691493309,31.38,0.35,11.39,0.6878244094626736,3.22921371960064,2.158704185713452
264,209,38.47,242,7.62,0.69,21.06921641907813,33.0,1.08,7.28,1.7163989014556988,5.283799742116988,1.9268594981916165
265,223,36.42,349,8.0,0.85,17.80436996432549,23.27,1.6,8.08,2.237898897366948,4.6593421581240895,0.8906670421832759
266,254,56.43,453,7.65,0.68,16.758676209786906,31.73,1.09,8.73,1.8948373692623248,30.16834228751089,0.5679635708585893
267,296,65.15,404,7.18,0.69,16.88936960729191,22.59,1.36,9.71,0.6409124724231693,23.56454553871165,2.1478050028493967
268,477,46.17,266,7.43,0.7,8.691838514152147,33.5,0.68,8.16,1.1312767862492166,30.00415166217677,1.36867593062626
269,290,18.98,200,8.09,1.08,7.116845077921391,23.48,0.2,6.28,2.386509928542214,13.693583628229296,0.6831791639357363
270,215,35.39,301,7.5,0.38,19.443731615936475,17.87,0.64,3.64,1.7138836864068088,8.708802398559461,1.7618766597361593
271,229,27.19,540,7.79,0.79,19.46171013283242,19.67,0.68,7.9,0.1053227676807343,24.769276861791777,0.1713214319021274
272,265,22.37,411,7.7,0.69,20.82302841406448,18.76,0.6,3.08,2.319702926882315,10.187983528291024,0.9602299013939796
273,458,58.48,328,8.04,0.49,21.926449206099665,22.69,0.35,10.46,0.1934622699749004,9.357952413758207,1.3532173050715317
274,201,41.02,502,8.09,0.2,12.321083332776412,19.35,0.52,6.65,2.2749999834025103,7.292110099299906,0.4683650021419601
275,182,32.32,130,8.53,0.74,12.08623944302407,28.46,1.01,6.02,0.6832680412841456,4.11578363734663,2.777646358150717
276,142,28.73,340,8.16,0.15,19.179254777305925,13.02,0.38,17.6,2.897155296749784,8.032143954807902,0.6371087262673354
277,249,43.09,551,7.27,2.51,15.634137945588586,31.07,1.7,3.93,1.1680664013151076,11.085827030358391,0.4197746389194128
278,234,59.5,314,7.79,1.4,16.877008366459112,26.57,1.48,9.76,1.0479096358705715,20.929681089621614,0.6217562519278339
279,250,13.34,241,7.85,1.16,19.11944479952281,29.89,0.64,8.68,0.5262419874740629,2.042627976158859,2.182608727520839
280,260,69.76,589,8.35,0.85,21.37112766943984,29.25,0.52,3.78,0.9854203513863296,6.6125593662624444,1.234395619590286
281,274,27.7,317,7.14,0.38,8.178084248751706,33.87,0.62,5.2,2.6585867321566274,25.100740248609885,1.6205479937170049
282,386,35.39,437,7.72,0.41,9.076432568094662,17.11,1.26,4.46,3.0092596092478345,4.64841821950268,0.1179852732823556
283,259,23.08,453,7.53,0.27,2.346168362196769,17.9,0.39,7.21,1.1691469243850658,10.69430857608069,0.1550304116623481
284,254,21.03,392,7.46,0.4,13.920895369808555,14.9,0.38,4.86,1.40442914869681,26.819314096197942,1.2904785175225646
285,162,23.6,520,7.5,0.51,0.9590203437421356,13.05,0.35,10.85,2.20566784893402,4.895642861220944,2.313968471236481
286,231,42.06,465,7.65,0.51,11.227792633365796,15.41,0.34,6.1,2.6865536367626683,2.665740852245886,2.50325930523288
287,215,91.31,603,8.28,0.38,13.06920676951108,20.84,0.44,4.3,1.8276198991672776,15.077378668021534,0.2993101265639669
288,223,42.06,468,7.82,0.29,6.9483359258659965,17.34,1.18,6.18,1.2371702956610402,9.451738703393987,1.5458821617988228
289,538,30.26,511,7.48,0.48,14.220914927599356,23.51,0.47,11.09,1.2989819936864675,17.51368437890625,2.5805139341307863
290,320,55.4,328,8.03,0.47,0.8289559735432813,10.82,0.45,9.82,2.128161169235644,24.939533067034542,1.1308048021381665
291,260,66.68,542,7.66,1.05,0.9926217111062244,20.89,0.46,4.98,0.0994295123605365,4.346516799038237,2.3496016947422973
292,209,45.65,464,7.19,3.26,19.760153399765837,27.93,0.9,6.24,1.9053967587573333,18.047794721881864,0.4290000061424439
293,312,55.91,529,7.62,0.67,8.708556329729182,25.92,0.31,8.64,1.1315945205931772,15.725165608442897,2.641688791483124
294,199,43.6,418,7.68,0.35,3.1367462523800462,11.73,0.6,8.44,2.416998180641857,4.560593699947735,2.133928356386395
295,306,21.03,505,7.48,0.58,12.581613915309823,10.71,0.34,7.95,0.3624625746817772,19.385313217990262,2.6580829240918487
296,296,18.47,387,7.35,0.34,18.5028459190568,12.92,1.89,6.64,1.8134326421587843,8.562752507719235,1.9274635646049176
297,191,35.91,574,7.2,1.54,5.258122557174551,31.17,1.05,5.47,1.4992505673663428,15.179202099824543,1.0629948523184185
298,257,56.94,191,7.99,0.2,14.987082372074104,13.17,0.47,13.99,1.9720137909023163,2.651392096918441,2.6493800361682336
299,273,85.15,171,7.88,2.88,2.139804413351055,12.54,1.36,5.88,0.2800210318350973,14.306551527328816,0.8205643026133325
300,299,19.49,482,7.62,0.38,1.335193135929724,37.08,0.5,9.18,1.7893524971644248,9.57665652784272,0.9767961608903816
301,268,38.98,219,7.98,0.77,12.799375694478735,26.35,1.74,8.03,1.7351498427214047,25.5133556135156,1.9942312336848032
302,162,25.14,851,7.2,0.57,13.021179406481544,30.0,0.74,5.0,1.732734076639381,1.8700728769487065,2.172272986690066
303,223,37.45,441,7.71,0.86,15.334574645807136,16.01,0.36,3.84,1.8582188631276129,13.040778722227213,2.6251536154236645
304,356,35.91,696,7.32,0.61,17.453582875971613,11.06,0.52,6.04,2.072051056073241,14.27094669142012,0.6252546489951383
305,361,35.91,468,7.41,1.87,23.422864699154577,29.32,1.6,4.76,2.448617769064656,22.505437696879778,2.262474577205058
306,227,21.54,526,8.49,0.81,12.439578324398568,21.12,0.31,9.95,0.880574709975668,17.849743194536618,2.098387107375619
307,166,31.8,449,7.5,0.89,7.818659703295777,24.24,0.74,4.38,2.507394771827582,20.72018909592825,0.2360729752599301
308,358,46.17,173,7.44,1.53,19.10495005497202,26.4,1.92,7.56,1.549889149031919,24.113052433782748,1.1287358697401713
309,268,22.57,348,7.71,0.63,6.572890805163573,19.87,1.1,7.03,0.3157807578635903,26.74344985630145,0.8404326614858721
310,347,57.96,259,8.35,0.53,10.591416954864702,31.61,0.48,8.24,0.261554222684859,9.805614093757114,0.9003935712171238
311,182,27.19,223,7.86,1.07,1.9751075140801564,30.31,0.4,6.04,1.0693182737794582,16.72952136869096,2.772933387570974
312,304,51.81,547,8.14,1.34,0.7058827676294345,17.11,0.46,4.95,2.3897481429366,26.06093854298689,1.834065661204601
313,167,59.5,314,7.65,0.98,23.10729711080241,27.95,0.35,17.08,2.163505138790883,30.674145435510592,2.0407861955100586
314,182,21.03,557,7.99,0.51,20.07992488024172,19.6,0.45,5.51,2.4006418464901507,27.587251518141844,2.755464678989425
315,268,20.01,422,7.87,0.58,16.73378352563938,12.24,0.97,9.53,1.6055983353739156,11.584623742467,1.1010769195830827
316,172,52.83,279,7.44,2.44,9.87397537150105,17.49,0.98,4.94,1.3797830640095874,6.138693716884112,2.273078864929744
317,210,19.49,746,7.46,0.35,4.241734249693214,11.98,0.5,8.76,0.522035903249412,15.227335480489526,1.2593054587204071
318,238,38.47,478,8.2,0.55,3.838845319838956,32.84,0.76,6.16,1.051604768075283,23.019304447215344,2.459912934209344
319,160,19.49,321,7.93,0.24,6.080805266133828,11.02,0.8,10.24,1.3616767428894547,15.325458595569362,0.5586148140191968
320,204,16.41,403,7.55,0.44,13.22651728647628,20.01,0.62,7.48,0.3495992589612785,15.03545686775922,2.675613848697412
321,180,15.9,480,7.63,0.88,17.17884255253149,25.01,0.52,4.52,0.736393021443849,26.00293770721682,0.6638099152140278
322,169,24.11,367,7.56,0.61,15.878717303553776,31.35,0.72,6.28,1.842800111606755,11.273762735385386,0.960368599267371
323,254,18.47,319,7.57,0.55,6.7904201370080335,17.49,0.52,3.56,2.245492924720826,26.66905750493173,2.147090566134714
324,538,49.24,509,7.49,0.82,22.921280207850337,16.22,1.41,6.49,3.0151582083813424,12.67620030139874,1.1467641907205224
325,464,47.19,353,7.58,0.84,17.73573630902887,21.25,1.31,4.82,2.824022060836624,10.249120634403903,1.7386633998753926
326,303,28.73,542,7.91,0.69,13.349061855022477,30.28,0.33,6.72,1.9727160346381116,14.1337483569587,1.2870228629516227
327,273,23.6,396,7.86,0.58,14.720125835001015,12.31,0.4,13.19,1.3242567961516312,23.661986553466686,2.108941026367798
328,177,55.4,466,7.92,0.92,10.128441492024178,33.38,0.58,4.0,1.953999678595122,4.002202640718783,0.690194256537366
329,220,26.67,453,7.61,0.42,6.020770649077663,16.32,0.43,6.61,2.39195924097508,6.1773895782866175,0.2213440447737805
330,162,34.88,464,8.01,0.49,8.607747019765151,15.46,0.45,8.44,0.4367250394055249,29.50013066473291,0.8878051370256628
331,179,17.44,215,8.0,0.27,18.21252204009842,21.6,0.46,10.13,1.2910213268101247,5.53093636981013,1.3690919150368674
332,235,33.86,404,8.03,0.5,0.4440043782511652,12.05,0.36,7.21,2.5506206969123584,17.647096850890275,0.5237353440517929
333,290,11.29,402,7.64,0.51,2.874136108115298,35.39,0.58,8.2,1.2146305491638192,18.00502387518726,1.0392405194516328
334,205,20.01,551,7.51,2.32,1.1994631443198909,21.17,0.56,3.76,1.7655857546956568,15.234499632732062,1.163953130490249
335,254,29.24,580,7.66,1.34,1.073418375423386,22.65,0.32,4.02,1.812164227326241,20.026180728537927,0.2184014885796349
336,362,45.65,353,7.42,1.24,20.545507957863077,30.51,1.22,5.8,0.6305154216815633,7.209347559888434,1.6699280049884044
337,229,26.16,496,7.54,0.26,16.917422839182567,17.51,0.62,9.38,1.151349844041205,17.181737451623754,2.500787861200753
338,343,23.08,411,7.27,2.08,11.43275451518707,15.25,0.98,7.03,1.070118076013861,11.606431854576652,0.4788104397504246
339,596,56.94,564,8.0,0.23,2.4382364395589358,10.23,0.56,3.44,0.1667563559989498,20.54890164994565,1.7099501169881786
340,163,62.58,551,7.55,0.63,11.849619415292292,20.53,0.87,15.87,0.1608818682016708,4.472395254796587,1.894680205553936
341,190,58.99,578,7.71,0.43,11.41597532165552,20.99,1.42,7.16,2.5268723379700164,17.744403406171422,1.217363717957236
342,256,22.57,429,7.64,1.38,4.239524690849362,27.52,0.46,5.33,0.8900974732203404,5.83300127779087,1.995029341125385
343,212,57.96,508,7.22,2.64,10.469054416787555,30.2,0.42,6.9,1.6079707850797291,8.717284219623474,1.1936190600351932
344,190,61.55,253,8.11,0.71,9.624263152097225,31.96,0.34,12.99,0.965265930615105,6.865945731995486,1.4527989148177205
345,193,25.65,271,8.06,2.05,14.818817343447972,32.74,0.65,7.53,2.846190188187948,5.757859020147761,0.0802944029702184
346,198,28.73,536,7.79,0.43,15.278738255736686,11.72,1.05,9.42,0.8497395034767171,25.616211293709004,1.969147515011741
347,271,58.99,238,7.98,0.24,1.182765833551864,11.52,1.28,11.49,1.34889446132508,8.935506765044902,1.8853057938874396
348,237,47.71,210,7.39,0.21,9.05324148957266,22.01,1.74,16.56,2.647099633919884,28.74885362179284,0.1659864214207109
349,179,20.0,218,8.42,0.72,15.058051985570248,14.03,0.32,8.19,2.5568653506999994,30.071030367912947,1.0763702964105673
350,331,37.45,173,7.97,0.81,12.124956580064095,11.4,0.44,12.74,0.6352771542895925,17.756235916356935,2.762127880585002
351,246,27.19,372,7.31,0.23,20.5701072044009,25.08,1.96,7.48,2.4417448977014318,4.527304679144289,1.2212329126893824
352,260,21.03,293,8.12,2.52,15.842777795692784,26.57,0.35,9.76,1.4324875781420257,11.679795237995265,1.4453693181638831
353,212,24.62,113,8.0,0.67,3.9941328072461695,15.35,0.45,10.98,1.505098795210091,24.75194961482633,2.571407236520823
354,235,25.64,398,7.85,1.46,1.7865930628702733,19.26,1.66,6.33,0.4810963191787153,11.458699609452506,2.039642777389488
355,221,58.99,506,7.53,0.29,15.453820749130944,12.33,1.08,6.87,0.3261624353083752,2.7979618733731444,1.666513561902857
356,216,52.83,177,7.83,0.22,0.7336203219447612,13.43,0.46,10.31,2.222862169433132,17.309085898571727,2.26194092050136
357,317,82.07,578,7.26,1.38,14.100036392435772,23.76,1.64,4.76,1.5446311764010283,26.215783102712518,2.445650895418486
358,412,33.86,407,7.32,0.23,22.571502770056487,16.88,0.8,3.56,1.3699725586624762,24.69616609886279,1.3210110779948565
359,347,54.89,261,7.77,0.83,13.853832851233506,21.83,1.04,5.91,2.227459109951522,5.519553798626612,1.3712990872118656
360,324,62.58,460,7.36,1.47,9.377261236335872,20.96,1.41,5.31,2.332952794043952,20.891698939201092,1.1255005823990667
361,171,23.6,466,7.54,0.39,15.47458842077224,12.19,0.95,8.41,0.5556009312712059,6.92137669752714,2.728108946450951
362,224,80.53,526,7.17,0.57,11.052244082747247,25.13,0.28,3.94,1.877959687969489,6.8504307423166,1.984178861841367
363,221,14.88,775,7.24,1.15,13.140241264650845,28.59,0.48,4.24,0.4865874610736186,27.110077077397168,0.2896956627342795
364,238,20.52,499,8.81,0.87,22.60100892975895,22.87,0.58,6.05,2.291529002065104,7.82227395014571,2.441768560343931
365,187,68.74,557,7.45,1.02,9.327853043438504,30.05,0.45,4.69,2.0148786078627188,8.241710533941365,1.3863454367080998
366,271,21.03,515,8.15,0.81,23.07245447539155,13.3,1.01,9.24,2.892880839774532,0.1301832406165432,0.2497607817260654
367,191,18.47,449,8.06,0.63,21.737880342749925,27.62,0.83,8.88,0.292046987924314,27.00496646413724,1.5772196242507384
368,267,36.42,551,7.65,0.32,4.779408121464185,27.62,0.9,5.89,0.2571703329731751,24.59325378003017,1.2113734099729376
369,179,25.13,285,8.11,1.41,1.7577350909164544,28.81,1.33,8.6,0.9168081288510764,19.48819080495104,2.4825883574208447
370,285,22.57,305,7.43,1.16,2.508594232920497,30.86,1.8,7.64,0.8567976533462045,23.28570944807084,0.6230251059619092
371,289,28.73,582,7.62,1.06,0.5355016330720385,23.2,0.92,7.32,0.8136478812809594,4.806780247742552,2.3410423221984247
372,212,23.08,176,7.49,0.35,2.3571867620666884,22.61,1.12,6.84,2.7453259209266374,14.267615836810204,1.5992207876718494
373,237,56.94,340,7.71,0.46,16.42386188465093,30.74,0.3,3.58,0.8211703655590529,10.959166875203842,0.2107244368691745
374,213,42.06,757,8.06,0.28,1.8014086981994728,16.12,0.65,13.92,0.8868126975568889,3.0067568960792395,2.7422930316583374
375,270,45.14,338,7.38,0.98,7.723517564020894,24.42,0.34,3.84,2.315036908884634,15.126570688289004,1.4748180737248318
376,274,25.65,515,7.32,0.42,20.292519932169963,30.69,0.22,4.3,1.4077377383800824,28.55164779908401,0.8628201176791677
377,308,85.66,809,7.87,0.34,0.6561992640862382,25.46,0.72,3.7,2.365761931878681,1.3474261874759526,1.3555628838903522
378,295,29.75,331,7.27,0.57,19.565796733875565,18.48,1.88,4.76,0.2815228416636487,9.113227617823291,2.427687482508269
379,259,75.41,419,7.02,0.25,6.836329117084258,12.26,0.26,6.94,1.5185835974630162,6.52093951939418,0.9015326233027752
380,166,19.49,527,8.4,0.29,2.9241393801575843,30.66,1.01,9.73,0.1884878485370181,7.46635013173336,0.5917868543032929
381,205,63.09,286,7.65,1.43,16.7520182522032,21.99,0.35,13.37,0.2735738861241887,28.171543307553904,0.4162366415292328
382,194,26.67,251,8.08,1.1,15.131734038039228,32.67,1.72,4.96,2.745861738299124,14.56865308529722,0.8820919395569831
383,235,20.52,157,7.7,0.45,21.071581123296564,11.73,0.74,6.52,0.4979889373745538,14.513988865711005,2.21293272023052
384,257,21.03,402,8.13,1.71,17.66819794691287,21.68,1.16,9.46,1.6499925990663862,23.60418159544367,1.3616887679389222
385,285,15.9,496,7.72,1.08,19.30319423619788,33.17,0.16,3.12,1.2945101156200702,4.882264181712158,0.6878492261941702
386,370,83.1,383,7.44,0.79,6.840626284454224,31.28,1.48,4.52,1.1077159459384092,15.161626788150569,0.5186705989229077
387,285,25.14,255,7.88,0.55,4.340805096335375,33.66,1.8,4.92,2.7265117028637085,13.392243264199534,0.9783333551686462
388,260,81.05,461,7.45,0.56,18.03969256421652,32.67,1.36,5.92,0.1539425525521842,18.54857123098621,2.6541912691645564
389,267,77.97,457,7.41,0.71,19.38335026848761,31.02,1.48,4.96,2.034903780494476,30.986337453406048,1.0067537267484672
390,190,26.67,321,7.48,2.53,23.77307289381609,12.71,1.56,5.52,2.9127456922457027,23.87827633819444,2.7872224496347933
391,289,52.83,406,7.85,0.68,9.961562478183092,31.73,0.36,3.86,1.731292777543197,12.400071566208323,1.399236057912383
392,268,11.29,307,7.85,1.33,8.991232250447517,25.69,0.44,6.94,2.834889813756959,25.67311378474531,0.5544924144808163
393,223,42.58,242,7.66,0.94,18.656269761733725,31.68,1.4,7.12,0.2431155863080496,5.383181342722513,2.5195466533500857
394,256,64.12,426,7.26,1.2,8.245204612047125,28.17,0.38,6.72,1.3170644248872931,1.0510232700837785,1.3305808298521222
395,226,25.14,204,7.79,0.58,22.3451000819252,16.7,1.29,4.71,0.8522623275188099,6.425410225421395,2.018692908072487
396,243,52.83,317,7.53,1.26,20.61606476904798,17.21,0.28,3.98,2.231305427393538,10.62531296836948,2.775043969657258
397,318,15.9,339,7.8,1.32,10.352957254262938,30.46,0.42,5.52,2.9652004751569327,15.881839597925804,0.1984839668831282
398,248,32.83,165,7.69,2.84,18.045818520216788,32.87,0.74,5.12,0.8416330829616461,19.11133915131766,0.3268769850136853
399,265,21.03,271,7.37,0.93,18.13357469062391,18.48,1.64,10.92,2.006731582319038,28.23861060475349,2.0484606064372066
400,259,10.26,818,7.72,0.64,2.564660465178789,14.52,1.24,3.86,0.6704260639860385,15.859390355013636,0.8378370090955027
401,250,18.98,245,7.73,1.61,21.671014469641644,24.75,1.15,8.2,1.7464176458948173,15.59440466248878,0.5686718555822734
402,202,77.97,204,7.47,1.83,12.175531701503784,27.65,0.64,4.28,1.4493221859968253,1.6620065734319185,0.1686387883024533
403,209,72.84,487,7.33,1.59,19.852333439975023,28.63,0.36,3.22,2.937975615820404,1.1884178615507537,0.1202969250819169
404,274,20.0,550,7.95,0.55,7.74918546463162,28.71,0.76,9.62,1.8729849090006472,17.135331223596733,2.1975802646106226
405,249,40.01,543,7.41,1.12,21.503005161059196,22.98,0.38,3.44,1.114053670214379,13.645337363241362,0.4310362595399579
